,ID,Intercept,umol.L.sec,Temp.C,Light_Dark
1,Acali_1_14C,253.0057692,-0.00337149,14.7393481,NA
2,Acali_1_18C,248.7404696,-0.002845774,18.07076503,NA
3,Acali_1_22C,239.7768981,-0.004120083,22.11532515,NA
4,Acali_1_26C,222.8008501,-0.008511677,25.86925309,NA
5,Acali_1_28C,208.8692904,-0.007583055,27.94325949,NA
6,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA
46,NA,NA,NA,NA,NA
47,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA
56,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA
58,NA,NA,NA,NA,NA
59,NA,NA,NA,NA,NA
60,NA,NA,NA,NA,NA
61,NA,NA,NA,NA,NA
62,NA,NA,NA,NA,NA
63,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA
65,NA,NA,NA,NA,NA
66,NA,NA,NA,NA,NA
67,NA,NA,NA,NA,NA
68,NA,NA,NA,NA,NA
69,NA,NA,NA,NA,NA
70,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,NA
72,NA,NA,NA,NA,NA
73,NA,NA,NA,NA,NA
74,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA
76,NA,NA,NA,NA,NA
77,NA,NA,NA,NA,NA
78,NA,NA,NA,NA,NA
79,NA,NA,NA,NA,NA
80,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA
82,NA,NA,NA,NA,NA
83,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA
85,NA,NA,NA,NA,NA
86,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA
88,NA,NA,NA,NA,NA
89,NA,NA,NA,NA,NA
90,NA,NA,NA,NA,NA
91,NA,NA,NA,NA,NA
92,NA,NA,NA,NA,NA
93,NA,NA,NA,NA,NA
94,NA,NA,NA,NA,NA
95,NA,NA,NA,NA,NA
96,NA,NA,NA,NA,NA
97,NA,NA,NA,NA,NA
98,NA,NA,NA,NA,NA
99,NA,NA,NA,NA,NA
100,NA,NA,NA,NA,NA
101,NA,NA,NA,NA,NA
102,NA,NA,NA,NA,NA
103,NA,NA,NA,NA,NA
104,NA,NA,NA,NA,NA
105,NA,NA,NA,NA,NA
106,NA,NA,NA,NA,NA
107,NA,NA,NA,NA,NA
108,NA,NA,NA,NA,NA
109,NA,NA,NA,NA,NA
110,NA,NA,NA,NA,NA
111,NA,NA,NA,NA,NA
112,NA,NA,NA,NA,NA
113,NA,NA,NA,NA,NA
114,NA,NA,NA,NA,NA
115,NA,NA,NA,NA,NA
116,NA,NA,NA,NA,NA
117,NA,NA,NA,NA,NA
118,NA,NA,NA,NA,NA
119,NA,NA,NA,NA,NA
120,NA,NA,NA,NA,NA
121,NA,NA,NA,NA,NA
122,NA,NA,NA,NA,NA
123,NA,NA,NA,NA,NA
124,NA,NA,NA,NA,NA
125,NA,NA,NA,NA,NA
126,NA,NA,NA,NA,NA
127,NA,NA,NA,NA,NA
128,NA,NA,NA,NA,NA
129,NA,NA,NA,NA,NA
130,NA,NA,NA,NA,NA
131,NA,NA,NA,NA,NA
132,NA,NA,NA,NA,NA
133,NA,NA,NA,NA,NA
134,NA,NA,NA,NA,NA
135,NA,NA,NA,NA,NA
136,NA,NA,NA,NA,NA
137,NA,NA,NA,NA,NA
138,NA,NA,NA,NA,NA
139,NA,NA,NA,NA,NA
140,NA,NA,NA,NA,NA
141,NA,NA,NA,NA,NA
142,NA,NA,NA,NA,NA
143,NA,NA,NA,NA,NA
144,NA,NA,NA,NA,NA
145,NA,NA,NA,NA,NA
146,NA,NA,NA,NA,NA
147,NA,NA,NA,NA,NA
148,NA,NA,NA,NA,NA
149,NA,NA,NA,NA,NA
150,NA,NA,NA,NA,NA
151,NA,NA,NA,NA,NA
152,NA,NA,NA,NA,NA
153,NA,NA,NA,NA,NA
154,NA,NA,NA,NA,NA
155,NA,NA,NA,NA,NA
156,NA,NA,NA,NA,NA
157,NA,NA,NA,NA,NA
158,NA,NA,NA,NA,NA
159,NA,NA,NA,NA,NA
160,NA,NA,NA,NA,NA
161,NA,NA,NA,NA,NA
162,NA,NA,NA,NA,NA
163,NA,NA,NA,NA,NA
164,NA,NA,NA,NA,NA
165,NA,NA,NA,NA,NA
166,NA,NA,NA,NA,NA
167,NA,NA,NA,NA,NA
168,NA,NA,NA,NA,NA
169,NA,NA,NA,NA,NA
170,NA,NA,NA,NA,NA
171,NA,NA,NA,NA,NA
172,NA,NA,NA,NA,NA
173,NA,NA,NA,NA,NA
174,NA,NA,NA,NA,NA
175,NA,NA,NA,NA,NA
176,NA,NA,NA,NA,NA
177,NA,NA,NA,NA,NA
178,NA,NA,NA,NA,NA
179,NA,NA,NA,NA,NA
180,NA,NA,NA,NA,NA
181,NA,NA,NA,NA,NA
182,NA,NA,NA,NA,NA
183,NA,NA,NA,NA,NA
184,NA,NA,NA,NA,NA
185,NA,NA,NA,NA,NA
186,NA,NA,NA,NA,NA
187,NA,NA,NA,NA,NA
188,NA,NA,NA,NA,NA
